asn_org,unique_ips,provider_count,asn_count,country_count,top_providers
CDNEXT,5282,21,1,37,NordVPN (2708); CyberGhost (878); ProtonVPN (569); Windscribe (284); Astrill (256); Mullvad (143); PureVPN (127); Private Internet Access (126); Surfshark (53); ExpressVPN (38)
M247,4709,50,1,22,NordVPN (1167); CyberGhost (782); AirVPN (600); ProtonVPN (408); TorGuard (363); Windscribe (195); Mullvad (180); TunnelBear (137); WiTopia (125); PureVPN (93)
NETPROTECT-62651,3190,3,1,1,WLVPN (1496); IPVanish (1495); StrongVPN (199)
CLOUVIDER Clouvider - Global ASN,2844,10,1,3,NordVPN (1079); WLVPN (581); IPVanish (580); Astrill (539); ExpressVPN (22); StrongVPN (16); Windscribe (9); KevinVPN (8); Private Internet Access (5); Surfshark (5)
PACKETHUBSA-AS-AP PacketHub S.A.,2186,1,3,2,NordVPN (2186)
CDN77 _,1235,21,1,14,NordVPN (425); ProtonVPN (377); CyberGhost (153); Mullvad (101); IVPN (40); Windscribe (31); AzireVPN (19); Surfshark (18); PrivateVPN (16); Astrill (15)
GSLNETWORKS-AS-AP GSL Networks Pty LTD,1015,11,1,6,NordVPN (368); CyberGhost (268); Private Internet Access (132); ExpressVPN (87); PureVPN (49); IPVanish (38); WLVPN (38); Windscribe (27); Ivacy (9); ProtonVPN (2)
COGENT-174,782,10,1,4,Astrill (289); CyberGhost (168); IPVanish (134); WLVPN (134); Private Internet Access (37); Psiphon (10); StrongVPN (7); GhostPath (1); Sentinel dVPN (1); VPN Unlimited (1)
BANDWIDTH-AS,671,10,1,5,NordVPN (590); IPVanish (26); WLVPN (26); Astrill (7); Surfshark (7); PureVPN (5); WiTopia (5); ProtonVPN (3); FlowVPN (1); PrivateVPN (1)
GLOBALLAYER,625,3,1,2,AirVPN (576); NordVPN (47); Surfshark (2)
TZULO,585,7,1,1,Mullvad (254); AirVPN (224); Windscribe (84); IVPN (11); Sentinel dVPN (6); AzireVPN (5); CCrypto VPN (1)
