provider,asn_org,ip_count,provider_share_percent,asn_count
Windscribe,CDNEXT,284,27.84,1
Windscribe,M247,195,19.12,1
Windscribe,TZULO,84,8.24,1
Windscribe,CDN77 _,31,3.04,1
Windscribe,ESTNOC-GLOBAL,30,2.94,1
Windscribe,GSLNETWORKS-AS-AP GSL Networks Pty LTD,27,2.65,1
Windscribe,SONDATECH S.A.S.,21,2.06,1
Windscribe,AS-INCX,18,1.76,1
Windscribe,INT-5GN-AS-AP 5G NETWORK OPERATIONS PTY LTD,18,1.76,1
Windscribe,FREE RANGE CLOUD,16,1.57,1
Windscribe,IDNIC-ATHARVA-AS-ID PT Atharva Telematika Persada,15,1.47,1
Windscribe,AS41564,13,1.27,1
Windscribe,AS-COLOCROSSING,12,1.18,1
Windscribe,H4Y-TECHNOLOGIES,12,1.18,1
Windscribe,AFRIHOST-SP,9,0.88,1
Windscribe,AXCELX-NET,9,0.88,1
Windscribe,CLOUVIDER Clouvider - Global ASN,9,0.88,1
Windscribe,PLI-AS,9,0.88,1
Windscribe,VDI-NETWORK,9,0.88,1
Windscribe,WINDSCRIBE,9,0.88,1
Windscribe,ZEN-ECN,9,0.88,1
Windscribe,LATITUDE-SH,7,0.69,1
Windscribe,Latitude.sh LTDA,7,0.69,1
Windscribe,UK2NET-AS,7,0.69,1
Windscribe,ACEHOST,6,0.59,1
Windscribe,ALTUS,6,0.59,1
Windscribe,AS-GLOBALTELEHOST,6,0.59,1
Windscribe,AS-NETWORKEDGE,6,0.59,1
Windscribe,AS40676 - Psychz Networks,6,0.59,1
Windscribe,CYTA-NETWORK Internet Services,6,0.59,1
Windscribe,DATALOGISTICS,6,0.59,1
Windscribe,HINET Data Communication Business Group,6,0.59,1
Windscribe,HQSERV_NETWORKS,6,0.59,1
Windscribe,LEAPSWITCH-IN-AS-AP LEAPSWITCH NETWORKS PRIVATE LIMITED,6,0.59,1
Windscribe,MADCOM-ASN,6,0.59,1
Windscribe,PACKETEXCHANGE,6,0.59,1
Windscribe,PERFORMIVE,6,0.59,1
Windscribe,RIXHOST,6,0.59,1
Windscribe,"SIAMDATA-TH Siamdata Communication Co.,Ltd.",6,0.59,1
Windscribe,SKYNET-CY-AS,6,0.59,1
Windscribe,TRABIA,6,0.59,1
Windscribe,UNMETERED,6,0.59,1
Windscribe,VNPT-AS-VN VNPT Corp,6,0.59,1
Windscribe,GLOBALHOST-BOSNIA-AS,4,0.39,1
Windscribe,ARTNET,3,0.29,1
Windscribe,DE-CORP DE-CORP,3,0.29,1
Windscribe,FLOKINET,3,0.29,1
Windscribe,"KEMINET A datacenter located in TiranaAlbania. Webhosting, Dedicated Servers, VPS, IPv4IPv6 leasing",3,0.29,1
Windscribe,LACHANSO-VN Digital Shield Technology Company Limited,3,0.29,1
Windscribe,LGDACOM LG DACOM Corporation,3,0.29,1
Windscribe,"NNECL-AS-AP NZ Network Enterprise Co., Ltd.",3,0.29,1
Windscribe,PROSERVICE,3,0.29,1
Windscribe,QNAX LTDA,3,0.29,1
Windscribe,RYAMER,3,0.29,1
Windscribe,SKB-AS SK Broadband Co Ltd,3,0.29,1
Windscribe,SOVAM-AS,3,0.29,1
Windscribe,TELEKS-,3,0.29,1
Windscribe,VPLSNET,3,0.29,1
FlowVPN,"ONEPROVIDER-AS BrainStorm Network, Inc",29,11.6,1
FlowVPN,SCLOUDPTELTD-AS Scloud Pte Ltd,9,3.6,1
FlowVPN,THE,9,3.6,1
FlowVPN,VNPT-AS-VN VNPT Corp,8,3.2,1
FlowVPN,AS-VULTR,7,2.8,1
FlowVPN,NEWPUSH,7,2.8,1
FlowVPN,Unknown,7,2.8,0
FlowVPN,OVH,6,2.4,1
FlowVPN,IFOG-GMBH,5,2.0,1
FlowVPN,IOMART-AS,5,2.0,1
FlowVPN,M247,5,2.0,1
FlowVPN,AMAZON-02,4,1.6,1
FlowVPN,BAGE,4,1.6,1
FlowVPN,BYTEVIRTLLC,4,1.6,1
FlowVPN,CIVO-UK,4,1.6,1
FlowVPN,EDGECENTERLLC,4,1.6,1
FlowVPN,HOSTHATCH,4,1.6,1
FlowVPN,SECURITYNET-AS,4,1.6,1
FlowVPN,ASNET,3,1.2,1
FlowVPN,COMFACCORPORATION-AS-AP COMFAC CORPORATION,3,1.2,1
FlowVPN,Dattatec.com,3,1.2,1
FlowVPN,KAOPU-HK Kaopu Cloud HK Limited,3,1.2,1
FlowVPN,SKB-AS SK Broadband Co Ltd,3,1.2,1
FlowVPN,THE-HOSTING,3,1.2,1
FlowVPN,WORLDBUS,3,1.2,2
FlowVPN,"ALWYZON Alwyzon, a trading name of Hohl IT e.U.",2,0.8,1
FlowVPN,CLOUDWEBMANAGE-UK-1,2,0.8,1
FlowVPN,EDIS-AS-EU,2,0.8,1
FlowVPN,EHOSTIDC-AS-KR Hostcenter,2,0.8,1
FlowVPN,FREE RANGE CLOUD,2,0.8,1
FlowVPN,GCORE,2,0.8,1
FlowVPN,GCS-AS,2,0.8,1
FlowVPN,GLBBULUTTEKNOLOJISI-AS,2,0.8,1
FlowVPN,HINET Data Communication Business Group,2,0.8,1
FlowVPN,KARABRO Karabro AB,2,0.8,1
FlowVPN,KIXS-AS-KR Korea Telecom,2,0.8,1
FlowVPN,MELBICOM-EU-AS Melbikomas UAB,2,0.8,2
FlowVPN,PONYNET,2,0.8,1
FlowVPN,SINAVPS SinaVPS,2,0.8,1
FlowVPN,SSASN2,2,0.8,1
FlowVPN,VECTANT ARTERIA Networks Corporation,2,0.8,1
FlowVPN,WISDOM-CLOUD,2,0.8,1
FlowVPN,XANDMAIL-ASN,2,0.8,1
FlowVPN,xneelo,2,0.8,1
FlowVPN,ACTIVENETWORK-AS Active Network S.p.A.,1,0.4,1
