prefix_24,asn,asn_org,observed_exact_ips_in_prefix,provider_count,providers
199.58.164.0/24,29889,FSNET-1,2,5,Anonine; BoxPN; EasyHideIP; Froot; FrootVPN
179.43.133.0/24,51852,PLI-AS,1,5,Anonine; BoxPN; EasyHideIP; Froot; FrootVPN
198.57.26.0/24,62563,AS-GLOBALTELEHOST,1,5,Anonine; BoxPN; EasyHideIP; Froot; FrootVPN
23.111.78.0/24,11831,ESECUREDATA,1,5,Anonine; BoxPN; EasyHideIP; Froot; FrootVPN
45.12.222.0/24,9009,M247,1,5,Anonine; BoxPN; EasyHideIP; Froot; FrootVPN
50.2.250.0/24,62904,AS62904 - Eonix Corporation,1,5,Anonine; BoxPN; EasyHideIP; Froot; FrootVPN
66.70.209.0/24,16276,OVH,1,5,Anonine; BoxPN; EasyHideIP; Froot; FrootVPN
67.231.16.0/24,54643,IDIGITAL,1,5,Anonine; BoxPN; EasyHideIP; Froot; FrootVPN
74.115.214.0/24,29889,FSNET-1,1,5,Anonine; BoxPN; EasyHideIP; Froot; FrootVPN
80.90.55.0/24,9008,ASN-VO Visual Online S.A. Luxembourg,14,4,Anonine; BoxPN; EasyHideIP; FrootVPN
162.251.62.0/24,63023,AS-GLOBALTELEHOST,11,4,Anonine; BoxPN; EasyHideIP; FrootVPN
167.88.63.0/24,63023,AS-GLOBALTELEHOST,11,4,Anonine; BoxPN; EasyHideIP; FrootVPN
180.149.228.0/24,136557,HOST-AS-AP Host Universal Pty Ltd,11,4,Anonine; BoxPN; EasyHideIP; FrootVPN
77.243.183.0/24,9009,M247,11,4,Anonine; BoxPN; EasyHideIP; FrootVPN
185.191.204.0/24,35758,HQSERV_NETWORKS,10,4,Anonine; BoxPN; EasyHideIP; FrootVPN
46.175.128.0/24,60458,ASN-XTUDIONET,9,4,Anonine; BoxPN; EasyHideIP; FrootVPN
5.133.11.0/24,197155,ARTNET,8,4,Anonine; BoxPN; EasyHideIP; FrootVPN
78.110.166.0/24,42831,"UKSERVERS-AS UK Dedicated Servers, Hosting and Co-Location",8,4,Anonine; BoxPN; EasyHideIP; FrootVPN
84.33.8.0/24,34081,SERVER24-AS INCUBATEC GmbH - Srl,8,4,Anonine; BoxPN; EasyHideIP; FrootVPN
185.224.199.0/24,21130,IOMART-IE,7,4,Anonine; BoxPN; EasyHideIP; FrootVPN
66.70.209.0/24,16276,OVH,7,4,Anonine; BoxPN; EasyHideIP; FrootVPN
91.230.121.0/24,6698,VIRTUALSYSTEMS,7,4,Anonine; BoxPN; EasyHideIP; FrootVPN
199.58.164.0/24,29889,FSNET-1,6,4,Anonine; BoxPN; EasyHideIP; FrootVPN
23.111.78.0/24,11831,ESECUREDATA,6,4,Anonine; BoxPN; EasyHideIP; FrootVPN
103.253.40.0/24,133398,TELE-AS Tele Asia Limited,5,4,Anonine; BoxPN; EasyHideIP; FrootVPN
111.90.145.0/24,45839,SHINJIRU-MY-AS-AP Shinjiru Technology Sdn Bhd,5,4,Anonine; BoxPN; EasyHideIP; FrootVPN
142.202.48.0/24,63023,AS-GLOBALTELEHOST,5,4,Anonine; BoxPN; EasyHideIP; FrootVPN
143.202.160.0/24,52423,Data Miners S.A.  Racknation.cr,5,4,Anonine; BoxPN; EasyHideIP; FrootVPN
160.202.162.0/24,45382,EHOSTIDC-AS-KR Hostcenter,5,4,Anonine; BoxPN; EasyHideIP; FrootVPN
177.54.144.0/24,262287,Latitude.sh LTDA,5,4,Anonine; BoxPN; EasyHideIP; FrootVPN
180.149.231.0/24,136557,HOST-AS-AP Host Universal Pty Ltd,5,4,Anonine; BoxPN; EasyHideIP; FrootVPN
185.181.60.0/24,56655,GIGAHOST,5,4,Anonine; BoxPN; EasyHideIP; FrootVPN
2.58.46.0/24,9009,M247,5,4,Anonine; BoxPN; EasyHideIP; FrootVPN
212.32.254.0/24,60781,LEASEWEB-NL-AMS-01 Netherlands,5,4,Anonine; BoxPN; EasyHideIP; FrootVPN
217.138.199.0/24,9009,M247,5,4,Anonine; BoxPN; EasyHideIP; FrootVPN
37.120.148.0/24,9009,M247,5,4,Anonine; BoxPN; EasyHideIP; FrootVPN
45.87.212.0/24,9009,M247,5,4,Anonine; BoxPN; EasyHideIP; FrootVPN
45.87.213.0/24,9009,M247,5,4,Anonine; BoxPN; EasyHideIP; FrootVPN
46.45.147.0/24,42926,RADORE,5,4,Anonine; BoxPN; EasyHideIP; FrootVPN
82.102.25.0/24,9009,M247,5,4,Anonine; BoxPN; EasyHideIP; FrootVPN
89.163.131.0/24,24961,MYLOC-AS IP Backbone of WIIT AG formerly myLoc managed IT AG,5,4,Anonine; BoxPN; EasyHideIP; FrootVPN
92.119.179.0/24,9009,M247,5,4,Anonine; BoxPN; EasyHideIP; FrootVPN
179.43.133.0/24,51852,PLI-AS,4,4,Anonine; BoxPN; EasyHideIP; FrootVPN
185.204.1.0/24,51765,CREANOVA-AS Oy Creanova Hosting Solutions Ltd.,4,4,Anonine; BoxPN; EasyHideIP; FrootVPN
198.57.26.0/24,62563,AS-GLOBALTELEHOST,4,4,Anonine; BoxPN; EasyHideIP; FrootVPN
45.12.222.0/24,9009,M247,4,4,Anonine; BoxPN; EasyHideIP; FrootVPN
50.2.250.0/24,62904,AS62904 - Eonix Corporation,4,4,Anonine; BoxPN; EasyHideIP; FrootVPN
62.212.69.0/24,60781,LEASEWEB-NL-AMS-01 Netherlands,4,4,Anonine; BoxPN; EasyHideIP; FrootVPN
67.231.16.0/24,54643,IDIGITAL,4,4,Anonine; BoxPN; EasyHideIP; FrootVPN
68.168.122.0/24,36666,GTCOMM,4,4,Anonine; BoxPN; EasyHideIP; FrootVPN
212.83.163.0/24,12876,Online SAS,3,4,Anonine; BoxPN; EasyHideIP; FrootVPN
74.115.214.0/24,29889,FSNET-1,3,4,Anonine; BoxPN; EasyHideIP; FrootVPN
89.163.154.0/24,24961,MYLOC-AS IP Backbone of WIIT AG formerly myLoc managed IT AG,2,4,Anonine; BoxPN; EasyHideIP; FrootVPN
178.255.43.0/24,197155,ARTNET,1,4,Anonine; BoxPN; EasyHideIP; FrootVPN
185.212.149.0/24,51765,CREANOVA-AS Oy Creanova Hosting Solutions Ltd.,1,4,Anonine; BoxPN; EasyHideIP; FrootVPN
195.154.199.0/24,12876,Online SAS,1,4,Anonine; BoxPN; EasyHideIP; FrootVPN
31.210.86.0/24,42926,RADORE,1,4,Anonine; BoxPN; EasyHideIP; FrootVPN
5.199.133.0/24,24961,MYLOC-AS IP Backbone of WIIT AG formerly myLoc managed IT AG,1,4,Anonine; BoxPN; EasyHideIP; FrootVPN
5.199.135.0/24,24961,MYLOC-AS IP Backbone of WIIT AG formerly myLoc managed IT AG,1,4,Anonine; BoxPN; EasyHideIP; FrootVPN
5.199.138.0/24,24961,MYLOC-AS IP Backbone of WIIT AG formerly myLoc managed IT AG,1,4,Anonine; BoxPN; EasyHideIP; FrootVPN
74.115.210.0/24,29889,FSNET-1,1,4,Anonine; BoxPN; EasyHideIP; FrootVPN
74.115.213.0/24,29889,FSNET-1,1,4,Anonine; BoxPN; EasyHideIP; FrootVPN
85.14.243.0/24,24961,MYLOC-AS IP Backbone of WIIT AG formerly myLoc managed IT AG,1,4,Anonine; BoxPN; EasyHideIP; FrootVPN
95.211.156.0/24,60781,LEASEWEB-NL-AMS-01 Netherlands,1,4,Anonine; BoxPN; EasyHideIP; FrootVPN
